49.71,62.75,0.02,14.91
49.71,62.93,0.02,15.09
49.71,63.05,0.02,15.21
49.71,63.22,0.02,15.38
49.71,63.34,0.02,15.50
49.71,63.52,0.02,15.68
49.71,63.64,0.02,15.80
49.71,63.82,0.02,15.98
49.71,63.94,0.02,16.10
49.71,64.12,0.02,16.28
49.71,64.24,0.02,16.40
49.71,64.42,0.02,16.58
49.71,64.54,0.02,16.70
49.71,64.72,0.02,16.88
49.71,64.84,0.02,17.00
49.71,65.03,0.02,17.19
49.71,65.15,0.02,17.31
49.71,65.33,0.02,17.50
49.71,65.46,0.02,17.62
49.71,65.64,0.02,17.80
49.71,65.77,0.02,17.93
49.71,65.95,0.02,18.11
49.71,66.14,0.02,18.30
49.72,66.27,0.03,18.43
49.72,66.39,0.03,18.55
49.72,66.58,0.03,18.74
49.72,66.71,0.03,18.87
49.72,66.90,0.03,19.06
49.72,67.02,0.03,19.18
49.73,67.21,0.04,19.38
49.73,67.34,0.04,19.50
49.73,67.53,0.04,19.69
49.74,67.73,0.05,19.89
49.74,67.85,0.05,20.02
49.74,67.98,0.05,20.14
49.75,68.18,0.06,20.34
49.75,68.31,0.06,20.47
49.76,68.50,0.07,20.66
49.76,68.63,0.07,20.79
49.77,68.83,0.08,20.99
49.78,68.96,0.09,21.12
49.79,69.15,0.10,21.31
49.79,69.28,0.10,21.44
49.81,69.48,0.12,21.64
49.82,69.61,0.13,21.77
49.83,69.81,0.14,21.97
49.84,69.94,0.15,22.10
49.86,70.14,0.17,22.30
49.88,70.27,0.19,22.43
49.90,70.47,0.21,22.63
49.92,70.60,0.23,22.76
49.95,70.80,0.26,22.96
49.98,70.93,0.29,23.09
50.01,71.13,0.32,23.29
50.04,71.26,0.35,23.42
50.08,71.46,0.39,23.62
50.11,71.59,0.42,23.75
50.16,71.79,0.47,23.95
50.19,71.92,0.50,24.08
50.25,72.11,0.56,24.28
50.29,72.24,0.60,24.41
50.35,72.44,0.66,24.60
50.39,72.57,0.70,24.73
50.46,72.76,0.77,24.92
50.51,72.89,0.82,25.05
50.58,73.08,0.89,25.24
50.64,73.21,0.95,25.37
50.72,73.40,1.03,25.56
50.77,73.52,1.08,25.68
50.86,73.71,1.17,25.87
50.92,73.83,1.23,26.00
51.01,74.02,1.32,26.18
51.08,74.14,1.39,26.30
51.18,74.33,1.49,26.49
51.24,74.45,1.55,26.61
51.35,74.63,1.66,26.79
51.46,74.81,1.77,26.97
51.53,74.92,1.84,27.09
51.61,75.04,1.92,27.20
51.73,75.21,2.04,27.38
51.81,75.33,2.12,27.49
51.94,75.50,2.25,27.66
52.02,75.61,2.33,27.77
52.15,75.78,2.46,27.94
52.24,75.88,2.55,28.05
52.38,76.04,2.69,28.21
52.48,76.15,2.79,28.31
52.62,76.30,2.93,28.46
52.72,76.40,3.03,28.57
52.87,76.55,3.18,28.71
52.98,76.65,3.29,28.81
53.14,76.79,3.45,28.95
53.25,76.88,3.56,29.04
53.41,77.01,3.72,29.17
53.53,77.09,3.84,29.25
53.70,77.21,4.01,29.38
53.82,77.29,4.13,29.45
54.00,77.40,4.31,29.57
54.13,77.48,4.44,29.64
54.31,77.58,4.62,29.74
54.44,77.65,4.75,29.81
54.63,77.74,4.94,29.90
54.76,77.80,5.07,29.96
54.96,77.88,5.27,30.04
55.09,77.93,5.40,30.10
55.29,78.01,5.60,30.17
55.43,78.05,5.74,30.21
55.64,78.11,5.95,30.27
55.77,78.15,6.08,30.31
55.98,78.20,6.29,30.36
56.12,78.22,6.43,30.39
56.34,78.26,6.65,30.42
56.48,78.28,6.79,30.44
56.69,78.31,7.00,30.47
56.83,78.32,7.14,30.48
57.05,78.33,7.36,30.49
57.19,78.33,7.50,30.49
57.41,78.32,7.72,30.48
57.55,78.31,7.86,30.48
57.76,78.30,8.07,30.46
57.90,78.28,8.21,30.44
58.12,78.24,8.43,30.41
58.26,78.22,8.57,30.38
58.46,78.17,8.77,30.33
58.60,78.13,8.91,30.29
58.81,78.07,9.12,30.23
58.94,78.03,9.25,30.19
59.15,77.96,9.46,30.12
59.28,77.91,9.59,30.07
59.48,77.83,9.79,29.99
59.62,77.77,9.93,29.93
59.81,77.69,10.12,29.85
59.94,77.63,10.25,29.79
60.14,77.53,10.45,29.69
60.27,77.47,10.58,29.63
60.47,77.37,10.78,29.54
60.60,77.31,10.91,29.47
60.79,77.21,11.10,29.37
60.93,77.15,11.24,29.31
61.12,77.04,11.43,29.21
61.25,76.98,11.56,29.14
61.44,76.87,11.75,29.03
61.57,76.80,11.88,28.96
61.76,76.69,12.07,28.85
61.89,76.62,12.20,28.78
62.08,76.50,12.39,28.66
62.21,76.42,12.52,28.58
62.39,76.30,12.70,28.46
62.52,76.22,12.83,28.38
62.70,76.10,13.01,28.26
62.88,75.97,13.19,28.13
63.00,75.88,13.31,28.04
63.12,75.79,13.43,27.95
63.30,75.66,13.61,27.82
63.42,75.57,13.73,27.73
63.59,75.42,13.90,27.58
63.70,75.33,14.01,27.49
63.87,75.18,14.18,27.34
63.98,75.08,14.29,27.24
64.15,74.92,14.46,27.08
64.25,74.82,14.56,26.98
64.41,74.66,14.72,26.82
64.51,74.55,14.82,26.71
64.67,74.38,14.98,26.55
64.82,74.22,15.13,26.38
64.93,74.11,15.24,26.27
65.03,74.00,15.34,26.16
65.19,73.83,15.50,26.00
65.29,73.72,15.60,25.88
65.45,73.56,15.76,25.72
65.55,73.45,15.86,25.61
65.70,73.28,16.01,25.44
65.81,73.17,16.12,25.33
65.96,73.00,16.27,25.16
66.07,72.89,16.38,25.05
66.22,72.72,16.53,24.88
66.32,72.60,16.63,24.76
66.48,72.43,16.79,24.59
66.63,72.26,16.94,24.42
66.73,72.14,17.04,24.30
66.83,72.02,17.14,24.19
66.98,71.85,17.29,24.01
67.07,71.73,17.38,23.89
67.22,71.55,17.53,23.71
67.31,71.42,17.62,23.59
67.45,71.24,17.76,23.40
